numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07149;20201205120000;99420;-80;8;170;5.300000;278.650000;275.450000;80;25000;3;2;2;90;7;450;35;mq;mq;98330;mq;mq;900;mq;mq;mq;mq;mq;mq;mq;8.600000;10.800000;-10;1;0.000000;0.000000;-60;0.000000;0.000000;0.000000;-0.100000;3.000000;mq;mq;mq;mq;7;6;540;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07168;20201205120000;99620;-90;8;180;5.300000;280.150000;274.650000;68;20000;0;mq;mq;mq;0;mq;mq;mq;mq;98200;mq;mq;870;mq;mq;mq;mq;271.850000;mq;mq;7.500000;7.900000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.200000;0.200000;1.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07181;20201205120000;99880;20;1;170;3.200000;278.750000;273.050000;67;51260;0;mq;mq;mq;1;800;mq;mq;mq;95800;mq;mq;1020;mq;mq;mq;mq;273.750000;mq;mq;5.800000;6.700000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.800000;mq;mq;mq;mq;1;mq;720;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07190;20201205120000;100110;80;1;340;0.900000;276.750000;275.850000;94;8620;0;mq;mq;100;8;150;mq;mq;mq;98270;mq;mq;1110;mq;mq;mq;mq;273.450000;mq;mq;1.600000;4.200000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;2.000000;4.400000;mq;mq;mq;mq;8;mq;150;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07207;20201205120000;99140;120;1;310;10.000000;283.750000;278.750000;71;18000;1;2;mq;60;5;450;35;27;mq;98630;mq;mq;470;mq;mq;mq;mq;mq;mq;mq;16.400000;18.300000;-10;1;mq;mq;mq;0.000000;0.000000;1.000000;1.600000;1.600000;mq;mq;mq;mq;2;6;500;3;3;4500;mq;mq;mq;mq;mq;mq;
07222;20201205120000;99060;50;1;210;3.300000;282.750000;280.350000;85;10850;0;mq;mq;mq;1;250;mq;mq;mq;98750;mq;mq;420;mq;mq;mq;mq;272.950000;mq;mq;5.300000;6.000000;-10;2;0.000000;mq;mq;0.000000;1.000000;2.400000;2.600000;2.600000;mq;mq;mq;mq;1;mq;240;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07240;20201205120000;99250;-80;8;180;5.500000;278.850000;276.150000;83;35520;0;mq;mq;100;8;450;mq;mq;mq;97900;mq;mq;620;mq;mq;mq;mq;274.650000;mq;mq;8.700000;12.400000;-10;mq;0.000000;mq;mq;0.000000;-0.100000;-0.100000;-0.100000;0.800000;mq;mq;mq;mq;8;mq;450;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07255;20201205120000;99500;-130;8;190;5.200000;280.250000;275.950000;74;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;97520;mq;mq;790;mq;mq;mq;mq;273.750000;mq;mq;7.400000;9.300000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.200000;5.500000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07280;20201205120000;99950;0;5;110;2.200000;275.350000;275.350000;100;8590;0;mq;mq;100;8;150;mq;mq;mq;97190;mq;mq;980;mq;mq;mq;mq;278.750000;mq;mq;4.300000;4.300000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;8;mq;150;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07299;20201205120000;100020;30;1;120;2.600000;277.850000;275.250000;83;18000;3;2;2;90;1;150;38;20;16;96740;mq;mq;960;mq;mq;mq;mq;273.750000;mq;mq;3.900000;5.800000;-10;1;0.000000;0.000000;-60;0.000000;0.000000;0.000000;2.000000;9.700000;mq;mq;mq;mq;1;8;150;1;6;600;7;0;5800;mq;mq;mq;
